uniqueID	rank
1007_s_at	-18250.0
1053_at	14693.0
117_at	5569.0
121_at	-18414.0
1255_g_at	-8579.0
1294_at	-2747.0
1316_at	-6268.0
1320_at	2372.0
1405_i_at	-7972.0
1431_at	-4355.0
1438_at	-2421.0
1487_at	13632.0
1494_f_at	2320.0
1598_g_at	-20067.0
160020_at	21551.0
1729_at	-17710.0
1773_at	-11412.0
177_at	-4236.0
179_at	4391.0
1861_at	-11645.0
200000_s_at	-11428.0
200001_at	15389.0
200002_at	15981.0
200003_s_at	14635.0
200004_at	15174.0
200005_at	16468.0
200006_at	13695.0
200007_at	-15864.0
200008_s_at	21292.0
200009_at	18303.0
200010_at	20787.0
200011_s_at	15667.0
200012_x_at	-13824.0
200013_at	14669.0
200014_s_at	-13388.0
200015_s_at	11764.0
200016_x_at	-14410.0
200017_at	10915.0
200018_at	-11652.0
200019_s_at	-11040.0
200020_at	17007.0
200021_at	-15816.0
200022_at	13071.0
200023_s_at	-15451.0
200024_at	13817.0
200025_s_at	-12801.0
200026_at	11978.0
200027_at	-16593.0
200028_s_at	-14017.0
200029_at	13923.0
200030_s_at	15325.0
200031_s_at	10206.0
200032_s_at	10929.0
200033_at	13029.0
200034_s_at	19357.0
200035_at	17641.0
200036_s_at	-14442.0
200037_s_at	-14227.0
200038_s_at	14552.0
200039_s_at	17498.0
200040_at	-11672.0
200041_s_at	16819.0
200042_at	13714.0
200043_at	-15487.0
200044_at	13854.0
200045_at	13130.0
200046_at	17245.0
200047_s_at	-17042.0
200048_s_at	-16877.0
200049_at	12196.0
200050_at	-14881.0
200051_at	-14413.0
200052_s_at	17172.0
200053_at	21794.0
200054_at	18733.0
200055_at	-18164.0
200056_s_at	-19299.0
200057_s_at	10162.0
200058_s_at	-10854.0
200059_s_at	12637.0
200060_s_at	15643.0
200061_s_at	-10423.0
200062_s_at	-11115.0
200063_s_at	-13277.0
200064_at	20580.0
200065_s_at	15265.0
200066_at	13924.0
200067_x_at	-14480.0
200068_s_at	14115.0
200069_at	-19128.0
200070_at	-14853.0
200071_at	11088.0
200072_s_at	12429.0
200073_s_at	-15433.0
200074_s_at	16403.0
200075_s_at	-10816.0
200076_s_at	-13195.0
200077_s_at	11917.0
200078_s_at	-11101.0
200079_s_at	11641.0
200080_s_at	10196.0
200081_s_at	21279.0
200082_s_at	18251.0
200083_at	13554.0
200084_at	11698.0
200085_s_at	12368.0
200086_s_at	-16489.0
200087_s_at	16153.0
200088_x_at	14195.0
200089_s_at	-11776.0
200090_at	11886.0
200091_s_at	-11709.0
200092_s_at	-12538.0
200093_s_at	-14309.0
200094_s_at	11757.0
200095_x_at	-14262.0
200096_s_at	19184.0
200097_s_at	16552.0
200098_s_at	-10719.0
200099_s_at	15057.0
200593_s_at	15502.0
200594_x_at	19296.0
200595_s_at	-15002.0
200596_s_at	11414.0
200597_at	17752.0
200598_s_at	-12547.0
200599_s_at	15899.0
200600_at	18570.0
200601_at	14679.0
200602_at	-17847.0
200603_at	-14695.0
200604_s_at	18815.0
200605_s_at	20900.0
200606_at	-10627.0
200607_s_at	14384.0
200608_s_at	-10527.0
200609_s_at	-10358.0
200610_s_at	15741.0
200611_s_at	-12613.0
200612_s_at	21786.0
200613_at	13113.0
200614_at	10866.0
200615_s_at	16932.0
200616_s_at	-12260.0
200617_at	19034.0
200618_at	14864.0
200619_at	20134.0
200620_at	18286.0
200621_at	-10495.0
200622_x_at	16866.0
200623_s_at	-12644.0
200624_s_at	16417.0
200625_s_at	-17756.0
200626_s_at	10825.0
200627_at	17616.0
200628_s_at	11317.0
200629_at	-20171.0
200630_x_at	18906.0
200631_s_at	13261.0
200632_s_at	15686.0
200633_at	-12609.0
200634_at	17089.0
200635_s_at	-11103.0
200636_s_at	14095.0
200637_s_at	11114.0
200638_s_at	17990.0
200639_s_at	15905.0
200640_at	20403.0
200641_s_at	19727.0
200642_at	14339.0
200643_at	10570.0
200644_at	-10453.0
200645_at	10232.0
200646_s_at	21127.0
200647_x_at	-17198.0
200648_s_at	18767.0
200649_at	-10607.0
200650_s_at	-10860.0
200651_at	18381.0
200652_at	13298.0
200653_s_at	18820.0
200654_at	14927.0
200655_s_at	11841.0
200656_s_at	17375.0
200657_at	-11290.0
200658_s_at	20013.0
200659_s_at	16055.0
200660_at	20991.0
200661_at	11985.0
200662_s_at	-13857.0
200663_at	15927.0
200664_s_at	-11399.0
200665_s_at	-3426.0
200666_s_at	-14777.0
200667_at	-17975.0
200668_s_at	12371.0
200669_s_at	18423.0
200670_at	-20961.0
200671_s_at	-16562.0
200672_x_at	19568.0
200673_at	-10166.0
200674_s_at	11332.0
200675_at	17514.0
200676_s_at	21615.0
200677_at	-12492.0
200678_x_at	11554.0
200679_x_at	19866.0
200680_x_at	16435.0
200681_at	15267.0
200682_s_at	19005.0
200683_s_at	12841.0
200684_s_at	19810.0
200685_at	-20643.0
200686_s_at	-15486.0
200687_s_at	17083.0
200688_at	13877.0
200689_x_at	13770.0
200690_at	-15191.0
200691_s_at	10420.0
200692_s_at	16921.0
200693_at	19409.0
200694_s_at	-14103.0
200695_at	20728.0
200696_s_at	-20379.0
200697_at	13685.0
200698_at	15516.0
200699_at	16860.0
200700_s_at	-14376.0
200701_at	14357.0
200702_s_at	-15418.0
200703_at	10277.0
200704_at	-14212.0
200705_s_at	-14874.0
200706_s_at	-10583.0
200707_at	20215.0
200708_at	10586.0
200709_at	15600.0
200710_at	11631.0
200711_s_at	-13318.0
200712_s_at	12216.0
200713_s_at	-11005.0
200714_x_at	16121.0
200715_x_at	-12722.0
200716_x_at	17406.0
200717_x_at	-11580.0
200718_s_at	11987.0
200719_at	15220.0
200720_s_at	12711.0
200721_s_at	16949.0
200722_s_at	17092.0
200723_s_at	18358.0
200724_at	2524.0
200725_x_at	-10222.0
200726_at	-17757.0
200727_s_at	19374.0
200728_at	19611.0
200729_s_at	18196.0
200730_s_at	21906.0
200731_s_at	21141.0
200732_s_at	17520.0
200733_s_at	-18985.0
200734_s_at	-21163.0
200735_x_at	12419.0
200736_s_at	14060.0
200737_at	-12116.0
200738_s_at	10191.0
200739_s_at	13720.0
200740_s_at	-12681.0
200741_s_at	-13666.0
200742_s_at	12160.0
200743_s_at	10622.0
200744_s_at	11832.0
200745_s_at	16275.0
200746_s_at	10999.0
200747_s_at	14607.0
200748_s_at	15468.0
200749_at	-12532.0
200750_s_at	11477.0
200751_s_at	21196.0
200752_s_at	10718.0
200753_x_at	16187.0
200754_x_at	12347.0
200755_s_at	21226.0
200756_x_at	21251.0
200757_s_at	19367.0
200758_s_at	14827.0
200759_x_at	14964.0
200760_s_at	13713.0
200761_s_at	-18485.0
200762_at	15320.0
200763_s_at	-11398.0
200764_s_at	-4689.0
200765_x_at	-7301.0
200766_at	-11030.0
200767_s_at	19814.0
200768_s_at	-14160.0
200769_s_at	19700.0
200770_s_at	11845.0
200771_at	21323.0
200772_x_at	19960.0
200773_x_at	20584.0
200774_at	-13482.0
200775_s_at	15627.0
200776_s_at	19161.0
200777_s_at	15976.0
200778_s_at	17283.0
200779_at	-13382.0
200780_x_at	15611.0
200781_s_at	-12984.0
200782_at	11657.0
200783_s_at	-12308.0
200784_s_at	1131.0
200785_s_at	-5451.0
200786_at	14544.0
200787_s_at	-17232.0
200788_s_at	18652.0
200789_at	21101.0
200790_at	10460.0
200791_s_at	13448.0
200792_at	15256.0
200793_s_at	-19132.0
200794_x_at	18706.0
200795_at	-8678.0
200796_s_at	-7488.0
200797_s_at	17477.0
200798_x_at	14758.0
200799_at	-13711.0
200800_s_at	14163.0
200801_x_at	17954.0
200802_at	-14117.0
200803_s_at	18176.0
200804_at	19336.0
200805_at	14821.0
200806_s_at	13301.0
200807_s_at	-13778.0
200808_s_at	15204.0
200809_x_at	13230.0
200810_s_at	-12950.0
200811_at	16346.0
200812_at	-10400.0
200813_s_at	19058.0
200814_at	-11431.0
200815_s_at	19838.0
200816_s_at	18617.0
200817_x_at	10549.0
200818_at	-15181.0
200819_s_at	16691.0
200820_at	14364.0
200821_at	10608.0
200822_x_at	20611.0
200823_x_at	18917.0
200824_at	15910.0
200825_s_at	16854.0
200826_at	19210.0
200827_at	-15281.0
200828_s_at	-10963.0
200829_x_at	-14769.0
200830_at	-14531.0
200831_s_at	21255.0
200832_s_at	11204.0
200833_s_at	-15100.0
200834_s_at	-12230.0
200835_s_at	10163.0
200836_s_at	20683.0
200837_at	10877.0
200838_at	12488.0
200839_s_at	12691.0
200840_at	-14409.0
200841_s_at	14370.0
200842_s_at	-15184.0
200843_s_at	-13501.0
200844_s_at	16411.0
200845_s_at	-10679.0
200846_s_at	16054.0
200847_s_at	18169.0
200848_at	-11405.0
200849_s_at	15413.0
200850_s_at	-10888.0
200851_s_at	16912.0
200852_x_at	15599.0
200853_at	17048.0
200854_at	-19215.0
200855_at	14937.0
200856_x_at	19685.0
200857_s_at	21487.0
200858_s_at	-10559.0
200859_x_at	11513.0
200860_s_at	13022.0
200861_at	20587.0
200862_at	11189.0
200863_s_at	-16322.0
200864_s_at	16105.0
200865_at	-9169.0
200866_s_at	19520.0
200867_at	-16068.0
200868_s_at	-12446.0
200869_at	11177.0
200870_at	-13197.0
200871_s_at	-11733.0
200872_at	-13556.0
200873_s_at	-15672.0
200874_s_at	16292.0
200875_s_at	11548.0
200876_s_at	14852.0
200877_at	12719.0
200878_at	-11234.0
200879_s_at	-3059.0
200880_at	14959.0
200881_s_at	16364.0
200882_s_at	-17850.0
200883_at	20099.0
200884_at	14235.0
200885_at	19327.0
200886_s_at	-14753.0
200887_s_at	20409.0
200888_s_at	-11118.0
200889_s_at	14973.0
200890_s_at	17377.0
200891_s_at	-10982.0
200892_s_at	13819.0
200893_at	-15287.0
200894_s_at	21357.0
200895_s_at	21783.0
200896_x_at	-16365.0
200897_s_at	10818.0
200898_s_at	16894.0
200899_s_at	14416.0
200900_s_at	18600.0
200901_s_at	17571.0
200902_at	-15772.0
200903_s_at	10822.0
200904_at	11433.0
200905_x_at	16601.0
200906_s_at	-13285.0
200907_s_at	13244.0
200908_s_at	-20708.0
200909_s_at	14470.0
200910_at	19165.0
200911_s_at	14172.0
200912_s_at	-14358.0
200913_at	21093.0
200914_x_at	-16033.0
200915_x_at	11178.0
200916_at	15884.0
200917_s_at	19847.0
200918_s_at	-10842.0
200919_at	10711.0
200920_s_at	18611.0
200921_s_at	20073.0
200922_at	21321.0
200923_at	-21857.0
200924_s_at	-13864.0
200925_at	14457.0
200926_at	-12154.0
200927_s_at	19843.0
200928_s_at	-3337.0
200929_at	-11927.0
200930_s_at	1006.0
200931_s_at	-12275.0
200932_s_at	-16113.0
200933_x_at	11915.0
200934_at	13858.0
200935_at	15601.0
200936_at	13621.0
200937_s_at	-13115.0
200938_s_at	-6855.0
200939_s_at	-3583.0
200940_s_at	19716.0
200941_at	-15285.0
200942_s_at	20351.0
200943_at	14124.0
200944_s_at	-15641.0
200945_s_at	14244.0
200946_x_at	13150.0
200947_s_at	17408.0
200948_at	11818.0
200949_x_at	11235.0
200950_at	15848.0
200951_s_at	-8236.0
200952_s_at	-4902.0
200953_s_at	5656.0
200954_at	14896.0
200955_at	19763.0
200956_s_at	14785.0
200957_s_at	19799.0
200958_s_at	15900.0
200959_at	-15438.0
200960_x_at	18214.0
200961_at	-18632.0
200962_at	-19827.0
200963_x_at	12529.0
200964_at	21341.0
200965_s_at	22056.0
200966_x_at	13189.0
200967_at	16254.0
200968_s_at	17143.0
200969_at	-17062.0
200970_s_at	10373.0
200971_s_at	11420.0
200972_at	18122.0
